Complaint,Category
Fan not working in room,Hostel
Water problem in hostel,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Wifi not working,Hostel
Bed damaged,Hostel
Wifi not working,Hostel
Water problem in hostel,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Water problem in hostel,Hostel
Fan not working in room,Hostel
Wifi not working,Hostel
Room cleaning not done,Hostel
Bed damaged,Hostel
Fan not working in room,Hostel
Fan not working in room,Hostel
Food quality is poor,Hostel
Bed damaged,Hostel
Water problem in hostel,Hostel
Fan not working in room,Hostel
Electricity issue in hostel,Hostel
Water problem in hostel,Hostel
Water problem in hostel,Hostel
Bed damaged,Hostel
Fan not working in room,Hostel
Room cleaning not done,Hostel
Room cleaning not done,Hostel
Washroom not clean,Hostel
Food quality is poor,Hostel
Food quality is poor,Hostel
Wifi not working,Hostel
Washroom not clean,Hostel
Food quality is poor,Hostel
Bed damaged,Hostel
Wifi not working,Hostel
Food quality is poor,Hostel
Fan not working in room,Hostel
Electricity issue in hostel,Hostel
Room cleaning not done,Hostel
Food quality is poor,Hostel
Fan not working in room,Hostel
Food quality is poor,Hostel
Room cleaning not done,Hostel
Wifi not working,Hostel
Electricity issue in hostel,Hostel
Assignment deadline issue,Academic
Lab sessions insufficient,Academic
Syllabus not completed,Academic
Syllabus not completed,Academic
Assignment deadline issue,Academic
Notes not provided,Academic
Exam timetable delay,Academic
Online class quality poor,Academic
Assignment deadline issue,Academic
Online class quality poor,Academic
Syllabus not completed,Academic
Online class quality poor,Academic
Online class quality poor,Academic
Exam timetable delay,Academic
Lab sessions insufficient,Academic
Assignment deadline issue,Academic
Online class quality poor,Academic
Internal marks not updated,Academic
Lab sessions insufficient,Academic
Assignment deadline issue,Academic
Notes not provided,Academic
Lab sessions insufficient,Academic
Internal marks not updated,Academic
Online class quality poor,Academic
Exam timetable delay,Academic
Assignment deadline issue,Academic
Online class quality poor,Academic
Assignment deadline issue,Academic
Syllabus not completed,Academic
Lab sessions insufficient,Academic
Notes not provided,Academic
Internal marks not updated,Academic
Notes not provided,Academic
Online class quality poor,Academic
Faculty not explaining properly,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Syllabus not completed,Academic
Exam timetable delay,Academic
Exam timetable delay,Academic
Exam timetable delay,Academic
Internal marks not updated,Academic
Online class quality poor,Academic
Syllabus not completed,Academic
Internal marks not updated,Academic
Faculty not explaining properly,Academic
Syllabus not completed,Academic
Exam timetable delay,Academic
Exam timetable delay,Academic
Faculty not explaining properly,Academic
Notes not provided,Academic
Faculty not explaining properly,Academic
Syllabus not completed,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Notes not provided,Academic
Notes not provided,Academic
Lab sessions insufficient,Academic
Internal marks not updated,Academic
Assignment deadline issue,Academic
Assignment deadline issue,Academic
Faculty not explaining properly,Academic
Exam timetable delay,Academic
Online class quality poor,Academic
Online class quality poor,Academic
Lab sessions insufficient,Academic
Exam timetable delay,Academic
Lab sessions insufficient,Academic
Assignment deadline issue,Academic
Assignment deadline issue,Academic
Notes not provided,Academic
Faculty not explaining properly,Academic
Syllabus not completed,Academic
Online class quality poor,Academic
Faculty not explaining properly,Academic
Exam timetable delay,Academic
Faculty not explaining properly,Academic
Notes not provided,Academic
Exam timetable delay,Academic
Lab sessions insufficient,Academic
Internal marks not updated,Academic
Online class quality poor,Academic
Syllabus not completed,Academic
Lab sessions insufficient,Academic
Faculty not explaining properly,Academic
Syllabus not completed,Academic
Syllabus not completed,Academic
Syllabus not completed,Academic
Lab sessions insufficient,Academic
Assignment deadline issue,Academic
Assignment deadline issue,Academic
Notes not provided,Academic
Lab sessions insufficient,Academic
Faculty not explaining properly,Academic
Internal marks not updated,Academic
Assignment deadline issue,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Exam timetable delay,Academic
Internal marks not updated,Academic
Lab sessions insufficient,Academic
Online class quality poor,Academic
Internal marks not updated,Academic
Online class quality poor,Academic
Exam timetable delay,Academic
Internal marks not updated,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Assignment deadline issue,Academic
Faculty not explaining properly,Academic
Online class quality poor,Academic
Notes not provided,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Exam timetable delay,Academic
Lab sessions insufficient,Academic
Assignment deadline issue,Academic
Exam timetable delay,Academic
Syllabus not completed,Academic
Online class quality poor,Academic
Internal marks not updated,Academic
Lab sessions insufficient,Academic
Faculty not explaining properly,Academic
Notes not provided,Academic
Syllabus not completed,Academic
Assignment deadline issue,Academic
Online class quality poor,Academic
Internal marks not updated,Academic
Internal marks not updated,Academic
Internal marks not updated,Academic
Notes not provided,Academic
Lab sessions insufficient,Academic
Notes not provided,Academic
Internal marks not updated,Academic
Notes not provided,Academic
Faculty not explaining properly,Academic
Exam timetable delay,Academic
Internal marks not updated,Academic
Online class quality poor,Academic
Online class quality poor,Academic
Internal marks not updated,Academic
Syllabus not completed,Academic
Exam timetable delay,Academic
Syllabus not completed,Academic
Notes not provided,Academic
Internal marks not updated,Academic
Exam timetable delay,Academic
Online class quality poor,Academic
Lab sessions insufficient,Academic
Online class quality poor,Academic
Online class quality poor,Academic
Assignment deadline issue,Academic
Internal marks not updated,Academic
Faculty not explaining properly,Academic
Lab sessions insufficient,Academic
Lab sessions insufficient,Academic
Exam timetable delay,Academic
Faculty not explaining properly,Academic
Transport fee issue,Transport
Bus breakdown issue,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Bus overcrowded,Transport
Bus overcrowded,Transport
No evening bus,Transport
No evening bus,Transport
Bus not arriving on time,Transport
Bus overcrowded,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Bus not arriving on time,Transport
Bus overcrowded,Transport
Bus not arriving on time,Transport
Bus breakdown issue,Transport
Bus seats damaged,Transport
Bus breakdown issue,Transport
Bus route changed,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Bus seats damaged,Transport
Driver driving rashly,Transport
Transport fee issue,Transport
Bus seats damaged,Transport
Driver driving rashly,Transport
Bus not arriving on time,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Bus not arriving on time,Transport
Bus seats damaged,Transport
Bus breakdown issue,Transport
Driver driving rashly,Transport
Bus not arriving on time,Transport
No evening bus,Transport
Bus route changed,Transport
Bus seats damaged,Transport
Bus seats damaged,Transport
Bus seats damaged,Transport
Bus seats damaged,Transport
Bus not arriving on time,Transport
No evening bus,Transport
Bus breakdown issue,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Bus not arriving on time,Transport
Bus not arriving on time,Transport
Transport fee issue,Transport
Bus route changed,Transport
Bus route changed,Transport
No evening bus,Transport
Bus route changed,Transport
Bus overcrowded,Transport
Bus overcrowded,Transport
Bus not arriving on time,Transport
Bus route changed,Transport
Bus breakdown issue,Transport
No evening bus,Transport
Bus route changed,Transport
No evening bus,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Bus route changed,Transport
Bus breakdown issue,Transport
Bus seats damaged,Transport
Driver driving rashly,Transport
Bus seats damaged,Transport
Bus not arriving on time,Transport
Driver driving rashly,Transport
Bus overcrowded,Transport
No evening bus,Transport
Driver driving rashly,Transport
Bus breakdown issue,Transport
Bus overcrowded,Transport
Bus seats damaged,Transport
No evening bus,Transport
Bus route changed,Transport
Bus route changed,Transport
Bus breakdown issue,Transport
Bus route changed,Transport
Driver driving rashly,Transport
Bus not arriving on time,Transport
Bus not arriving on time,Transport
Transport fee issue,Transport
Bus route changed,Transport
Driver driving rashly,Transport
Bus route changed,Transport
Bus overcrowded,Transport
Bus breakdown issue,Transport
Transport fee issue,Transport
Bus breakdown issue,Transport
Bus breakdown issue,Transport
Bus seats damaged,Transport
Bus breakdown issue,Transport
Bus route changed,Transport
Bus breakdown issue,Transport
Bus seats damaged,Transport
Bus overcrowded,Transport
No evening bus,Transport
No evening bus,Transport
Bus route changed,Transport
No evening bus,Transport
Bus seats damaged,Transport
Bus overcrowded,Transport
No evening bus,Transport
Driver driving rashly,Transport
Bus route changed,Transport
Bus seats damaged,Transport
Driver driving rashly,Transport
Bus breakdown issue,Transport
No evening bus,Transport
Bus route changed,Transport
Bus seats damaged,Transport
Bus not arriving on time,Transport
Bus not arriving on time,Transport
Bus route changed,Transport
Driver driving rashly,Transport
No evening bus,Transport
Transport fee issue,Transport
No evening bus,Transport
No evening bus,Transport
No evening bus,Transport
Bus seats damaged,Transport
Bus seats damaged,Transport
Bus overcrowded,Transport
No evening bus,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Bus overcrowded,Transport
Driver driving rashly,Transport
Bus seats damaged,Transport
No evening bus,Transport
No evening bus,Transport
Bus overcrowded,Transport
No evening bus,Transport
Bus route changed,Transport
Bus breakdown issue,Transport
Bus route changed,Transport
No evening bus,Transport
No evening bus,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Bus seats damaged,Transport
Bus overcrowded,Transport
No evening bus,Transport
Bus breakdown issue,Transport
Bus route changed,Transport
Bus not arriving on time,Transport
Transport fee issue,Transport
Bus overcrowded,Transport
Driver driving rashly,Transport
Bus overcrowded,Transport
Transport fee issue,Transport
Bus route changed,Transport
Driver driving rashly,Transport
Transport fee issue,Transport
Power failure in lab,Infrastructure
Internet slow,Infrastructure
Power failure in lab,Infrastructure
Projector not working,Infrastructure
Classroom fan not working,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Projector not working,Infrastructure
Power failure in lab,Infrastructure
Internet slow,Infrastructure
Projector not working,Infrastructure
Projector not working,Infrastructure
Internet slow,Infrastructure
Power failure in lab,Infrastructure
Projector not working,Infrastructure
Bench broken,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
Power failure in lab,Infrastructure
AC not working,Infrastructure
Bench broken,Infrastructure
Power failure in lab,Infrastructure
Power failure in lab,Infrastructure
Power failure in lab,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Lift not working,Infrastructure
Lift not working,Infrastructure
Lift not working,Infrastructure
AC not working,Infrastructure
Internet slow,Infrastructure
Bench broken,Infrastructure
AC not working,Infrastructure
Projector not working,Infrastructure
Bench broken,Infrastructure
Projector not working,Infrastructure
Power failure in lab,Infrastructure
Bench broken,Infrastructure
Classroom fan not working,Infrastructure
Parking light issue,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Power failure in lab,Infrastructure
Internet slow,Infrastructure
Projector not working,Infrastructure
Power failure in lab,Infrastructure
AC not working,Infrastructure
Internet slow,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Power failure in lab,Infrastructure
Power failure in lab,Infrastructure
Internet slow,Infrastructure
Internet slow,Infrastructure
AC not working,Infrastructure
Lift not working,Infrastructure
AC not working,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Bench broken,Infrastructure
AC not working,Infrastructure
Bench broken,Infrastructure
Bench broken,Infrastructure
Lift not working,Infrastructure
Classroom fan not working,Infrastructure
Projector not working,Infrastructure
Projector not working,Infrastructure
Bench broken,Infrastructure
Internet slow,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Parking light issue,Infrastructure
Bench broken,Infrastructure
Lift not working,Infrastructure
Power failure in lab,Infrastructure
Classroom fan not working,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
Classroom fan not working,Infrastructure
Classroom fan not working,Infrastructure
Bench broken,Infrastructure
Internet slow,Infrastructure
Lift not working,Infrastructure
Lift not working,Infrastructure
Power failure in lab,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
Projector not working,Infrastructure
Classroom fan not working,Infrastructure
Lift not working,Infrastructure
AC not working,Infrastructure
Classroom fan not working,Infrastructure
Power failure in lab,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
AC not working,Infrastructure
Internet slow,Infrastructure
Bench broken,Infrastructure
Internet slow,Infrastructure
Power failure in lab,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Parking light issue,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Lift not working,Infrastructure
AC not working,Infrastructure
AC not working,Infrastructure
AC not working,Infrastructure
AC not working,Infrastructure
Classroom fan not working,Infrastructure
Power failure in lab,Infrastructure
Internet slow,Infrastructure
Parking light issue,Infrastructure
Power failure in lab,Infrastructure
Power failure in lab,Infrastructure
Projector not working,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
AC not working,Infrastructure
AC not working,Infrastructure
Power failure in lab,Infrastructure
AC not working,Infrastructure
Lift not working,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Projector not working,Infrastructure
Internet slow,Infrastructure
Classroom fan not working,Infrastructure
Parking light issue,Infrastructure
Bench broken,Infrastructure
Parking light issue,Infrastructure
Internet slow,Infrastructure
Lift not working,Infrastructure
Parking light issue,Infrastructure
Parking light issue,Infrastructure
Classroom fan not working,Infrastructure
Lift not working,Infrastructure
Classroom fan not working,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
Projector not working,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Bench broken,Infrastructure
Internet slow,Infrastructure
Parking light issue,Infrastructure
Lift not working,Infrastructure
Classroom fan not working,Infrastructure
Projector not working,Infrastructure
Parking light issue,Infrastructure
Parking light issue,Infrastructure
Bench broken,Infrastructure
Projector not working,Infrastructure
Classroom fan not working,Infrastructure
AC not working,Infrastructure
Document verification delay,Administration
Certificate delay,Administration
Transfer certificate slow,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Office staff rude,Administration
Scholarship not credited,Administration
Fee receipt not available,Administration
Fee receipt not available,Administration
Office staff rude,Administration
Certificate delay,Administration
ID card not issued,Administration
Document verification delay,Administration
Fee receipt not available,Administration
Scholarship not credited,Administration
Certificate delay,Administration
Scholarship not credited,Administration
ID card not issued,Administration
ID card not issued,Administration
Office staff rude,Administration
Scholarship not credited,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Document verification delay,Administration
Fee receipt not available,Administration
Office staff rude,Administration
Scholarship not credited,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
Transfer certificate slow,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
Document verification delay,Administration
Fee receipt not available,Administration
Certificate delay,Administration
Fee receipt not available,Administration
Notice not informed,Administration
ID card not issued,Administration
ID card not issued,Administration
Scholarship not credited,Administration
ID card not issued,Administration
ID card not issued,Administration
Document verification delay,Administration
Certificate delay,Administration
Notice not informed,Administration
Transfer certificate slow,Administration
ID card not issued,Administration
Transfer certificate slow,Administration
Fee receipt not available,Administration
Notice not informed,Administration
Scholarship not credited,Administration
Office staff rude,Administration
ID card not issued,Administration
Transfer certificate slow,Administration
ID card not issued,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
ID card not issued,Administration
Scholarship not credited,Administration
Document verification delay,Administration
Fee receipt not available,Administration
Scholarship not credited,Administration
Certificate delay,Administration
Scholarship not credited,Administration
Document verification delay,Administration
Office staff rude,Administration
Notice not informed,Administration
Certificate delay,Administration
Office staff rude,Administration
ID card not issued,Administration
Certificate delay,Administration
Fee receipt not available,Administration
Document verification delay,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Document verification delay,Administration
Certificate delay,Administration
Fee receipt not available,Administration
Scholarship not credited,Administration
Notice not informed,Administration
Certificate delay,Administration
ID card not issued,Administration
Scholarship not credited,Administration
Notice not informed,Administration
ID card not issued,Administration
Certificate delay,Administration
Scholarship not credited,Administration
Document verification delay,Administration
Office staff rude,Administration
Certificate delay,Administration
Certificate delay,Administration
Document verification delay,Administration
Document verification delay,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
Office staff rude,Administration
Fee receipt not available,Administration
Scholarship not credited,Administration
Fee receipt not available,Administration
ID card not issued,Administration
Transfer certificate slow,Administration
Document verification delay,Administration
Certificate delay,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
Office staff rude,Administration
Office staff rude,Administration
Certificate delay,Administration
Notice not informed,Administration
Notice not informed,Administration
ID card not issued,Administration
Certificate delay,Administration
Transfer certificate slow,Administration
Fee receipt not available,Administration
ID card not issued,Administration
Document verification delay,Administration
Notice not informed,Administration
Transfer certificate slow,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Fee receipt not available,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Notice not informed,Administration
Fee receipt not available,Administration
Document verification delay,Administration
Certificate delay,Administration
Document verification delay,Administration
Transfer certificate slow,Administration
Scholarship not credited,Administration
Certificate delay,Administration
Office staff rude,Administration
Transfer certificate slow,Administration
Office staff rude,Administration
Notice not informed,Administration
Office staff rude,Administration
Document verification delay,Administration
ID card not issued,Administration
Document verification delay,Administration
Fee receipt not available,Administration
ID card not issued,Administration
Notice not informed,Administration
Document verification delay,Administration
Notice not informed,Administration
ID card not issued,Administration
Document verification delay,Administration
Office staff rude,Administration
Scholarship not credited,Administration
ID card not issued,Administration
Notice not informed,Administration
Document verification delay,Administration
Fee receipt not available,Administration
Document verification delay,Administration
ID card not issued,Administration
Transfer certificate slow,Administration
ID card not issued,Administration
Notice not informed,Administration
Certificate delay,Administration
Certificate delay,Administration
Certificate delay,Administration
